Date,Armed,Filled,StopOuts,Exit1515,Gross,Net,Cumulative
2026-02-02,0,0,0,0,0,0,0
2026-02-03,0,0,0,0,0,0,0
2026-02-04,4,3,0,3,-76,-88,-88
2026-02-05,7,5,0,5,352,308,220
2026-02-06,6,5,0,5,1534,1484,1704
2026-02-09,4,3,0,3,669,638,2342
2026-02-10,5,2,0,2,-18,-34,2309
2026-02-11,4,3,0,3,140,93,2401
2026-02-12,5,4,0,4,746,705,3106
2026-02-13,4,3,0,3,-89,-117,2989
2026-02-16,5,3,0,3,212,169,3157
2026-02-17,3,1,0,1,-228,-240,2917
2026-02-18,4,3,0,3,-70,-104,2813
2026-02-19,4,4,0,4,-1247,-1305,1508
2026-02-20,6,4,0,4,189,140,1648
2026-02-23,4,4,0,4,255,195,1843
2026-02-24,6,5,0,5,666,622,2465
2026-02-25,5,5,0,5,-179,-252,2213
2026-02-26,3,2,0,2,-57,-88,2125
2026-02-27,4,2,0,2,172,145,2270
2026-03-02,1,1,0,1,118,107,2376
2026-03-04,6,5,0,5,-520,-594,1782
2026-03-05,4,3,0,3,94,58,1840
2026-03-06,5,5,0,5,292,217,2057
2026-03-09,6,3,0,3,-743,-778,1279
2026-03-10,4,3,0,3,430,395,1674
2026-03-11,6,4,0,4,366,318,1992
2026-03-12,8,3,0,3,-526,-563,1429
2026-03-13,6,1,0,1,359,351,1780
2026-03-16,5,4,0,4,-203,-239,1540
2026-03-17,5,3,0,3,-167,-202,1338
2026-03-18,0,0,0,0,0,0,1338
2026-03-19,7,7,0,7,634,568,1907
2026-03-20,2,2,0,2,-289,-311,1595
2026-03-23,4,4,0,4,209,165,1760
2026-03-24,5,5,0,5,-392,-432,1329
2026-03-25,3,3,0,3,266,234,1563
2026-03-27,5,5,0,5,449,404,1967
2026-03-30,5,5,0,5,269,215,2182
2026-04-01,4,4,0,4,-493,-534,1649
2026-04-02,6,5,0,5,-718,-762,887
2026-04-06,3,2,0,2,324,304,1191
2026-04-07,4,3,0,3,475,448,1639
2026-04-08,5,4,0,4,109,70,1709
2026-04-09,4,4,0,4,-514,-555,1154
2026-04-10,2,2,0,2,-218,-237,917
2026-04-13,4,4,0,4,490,454,1371
2026-04-15,4,2,0,2,-58,-76,1295
2026-04-16,7,3,0,3,7,-17,1278
2026-04-17,4,4,0,4,-280,-332,946
2026-04-20,4,3,0,3,195,168,1114
2026-04-21,5,3,0,3,349,314,1428
2026-04-22,2,2,0,2,50,25,1453
2026-04-23,4,4,0,4,532,486,1938
2026-04-24,4,4,0,4,409,368,2306
2026-04-27,7,5,0,5,-1130,-1184,1122
2026-04-28,2,1,0,1,-243,-259,864
2026-04-29,4,2,0,2,-164,-186,678
2026-04-30,5,4,0,4,-1204,-1255,-577
2026-05-04,5,1,0,1,-87,-98,-675
2026-05-05,4,3,0,3,-159,-195,-870
2026-05-06,3,1,0,1,41,31,-839
2026-05-07,5,4,0,4,406,362,-477
2026-05-08,5,4,0,4,-761,-819,-1297
2026-05-11,7,7,0,7,1159,1074,-223
2026-05-12,5,3,0,3,816,779,556
2026-05-13,3,3,0,3,-197,-225,331
2026-05-14,6,5,0,5,-50,-109,222
2026-05-15,4,3,0,3,179,156,377
2026-05-18,7,5,0,5,-1224,-1278,-900
2026-05-19,3,3,0,3,-74,-108,-1008
2026-05-20,6,5,0,5,45,-26,-1034
2026-05-21,4,4,0,4,1077,1033,-1
2026-05-22,1,1,0,1,-220,-229,-230
2026-05-25,3,1,0,1,220,158,-72
2026-05-26,1,1,1,0,-365,-432,-504
2026-05-27,6,6,4,2,4056,3681,3177
2026-05-29,5,4,3,1,-444,-696,2481
2026-06-01,3,3,0,3,4620,4449,6930
2026-06-02,3,3,3,0,-317,-504,6426
2026-06-03,3,3,0,3,2661,2476,8902
2026-06-04,3,3,2,1,159,-24,8877
2026-06-05,5,5,0,5,4940,4685,13562
2026-06-08,4,4,4,0,-670,-925,12637
2026-06-09,1,1,1,0,-464,-533,12105
2026-06-10,1,1,1,0,-128,-191,11913
2026-06-11,3,2,2,0,-198,-322,11591
2026-06-12,5,5,0,5,-233,-295,11296
2026-06-15,4,4,0,4,-299,-355,10941
