Date,Symbol,Dir,Filled,Result,Trigger,Stop,Exit,Qty,Gross,Net,R,rvol5,Source
2026-02-03,BALKRISIND,,N,skipped (atr14d_below_floor_0.00),,,,,,,,,reconstructed
2026-02-03,INDUSINDBK,,N,skipped (atr14d_below_floor_0.00),,,,,,,,,reconstructed
2026-02-03,BHARATFORG,,N,skipped (atr14d_below_floor_0.00),,,,,,,,,reconstructed
2026-02-03,AARTIIND,,N,skipped (atr14d_below_floor_0.00),,,,,,,,,reconstructed
2026-02-03,SRF,,N,skipped (atr14d_below_floor_0.00),,,,,,,,,reconstructed
2026-02-03,SONACOMS,,N,skipped (atr14d_below_floor_0.00),,,,,,,,,reconstructed
2026-02-03,KEI,,N,skipped (atr14d_below_floor_0.00),,,,,,,,,reconstructed
2026-02-03,POLICYBZR,,N,skipped (atr14d_below_floor_0.00),,,,,,,,,reconstructed
2026-02-04,PERSISTENT,S,N,skipped (no_confirm),5804,5852.4,,,,,,,reconstructed
2026-02-04,EXIDEIND,S,N,skipped (no_confirm),332.55,334,,,,,,,reconstructed
2026-02-04,ABCAPITAL,S,N,skipped (no_confirm),342.4,344.8,,,,,,,reconstructed
2026-02-04,COFORGE,S,Y,exited at stoploss,1593.7,1602.8,1601.3,35,-318,-382,-1.20,4.52644525068455,reconstructed
2026-02-04,HAL,S,N,skipped (no_confirm),4097.6,4123.6,,,,,,,reconstructed
2026-02-04,VBL,S,N,skipped (no_confirm),438.2,443.4,,,,,,,reconstructed
2026-02-04,MANKIND,S,Y,exited at 15:15,2126.9,2137.95,2093.9,26,536,475,1.65,4.151145543827312,reconstructed
2026-02-04,TCS,S,Y,exited at 15:15,3031.2,3049.5,2999.7,18,536,476,1.45,3.9471788006249753,reconstructed
2026-02-05,TRENT,L,Y,exited at stoploss,2673,2658.2,2701.1,21,-311,-375,-1.21,6.99861750056838,reconstructed
2026-02-05,TRENT,L,Y,exited at stoploss,2673,2658.2,2671.8999999999996,21,-311,-374,-1.20,6.99861750056838,reconstructed
2026-02-05,NHPC,L,Y,exited at 15:15,80,79,80.16,703,569,508,0.72,6.620633103576436,reconstructed
